Gene ID	miRNA family	Site type	Site start	PCT
ENST00000257527.4	mir133	7mer-m8	3247	0.070643
ENST00000257527.4	mir122	7mer-1a	1469	0.0
ENST00000263980.3	mir133	7mer-m8	657	0.202996
ENST00000263980.3	mir122	7mer-m8	499	0.0
ENST00000263980.3	mir122	7mer-m8	745	0.0
ENST00000263980.3	mir122	8mer-1a	844	0.0
ENST00000263980.3	mir122	7mer-m8	1235	0.0
ENST00000269097.4	mir122	8mer-1a	60	0.0
ENST00000310380.6	mir133	7mer-1a	354	0.723504
ENST00000310380.6	mir133	7mer-1a	608	0.000566
ENST00000310380.6	mir133	7mer-m8	805	0.0
ENST00000310380.6	mir122	7mer-1a	1080	0.0
ENST00000320230.5	mir133	7mer-m8	915	0.00094
ENST00000331825.6	mir133	7mer-1a	116	0.7293
ENST00000368096.1	mir133	7mer-1a	217	0.8385290000000001
ENST00000368096.1	mir133	8mer-1a	244	0.770257
ENST00000395346.2	mir122	8mer-1a	147	0.0
ENST00000487099.2	mir122	7mer-m8	1047	0.0
ENST00000487099.2	mir122	7mer-1a	3518	0.0
ENST00000542575.2	mir122	7mer-m8	532	0.043035
ENST00000542575.2	mir122	7mer-1a	579	0.0
